(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:15:57,1657221420,2022-07-07T19:17:00,2022-07-07T13:17:00,1.990,31.83,38.57,38.42,40.35,849.48,850.26,186.300003,17.46,0.9452,321,0,12.340,1.87885,4.16,54010,40.564721,-105.073048,1525.5,12,0.042148,0.7
0:16:27,1657221450,2022-07-07T19:17:30,2022-07-07T13:17:30,1.991,32.83,38.51,38.30,40.29,849.47,850.35,186.183334,17.23,0.9455,321,0,12.355,1.88005,4.16,53999,40.564724,-105.073045,1524.0,12,0.016962,0.7
0:16:57,1657221480,2022-07-07T19:18:00,2022-07-07T13:18:00,1.990,33.82,38.48,38.22,40.26,849.56,850.41,182.916672,17.13,0.9457,321,0,12.352,1.88335,4.16,53987,40.564720,-105.073041,1524.9,12,0.029812,0.7
0:17:27,1657221510,2022-07-07T19:18:30,2022-07-07T13:18:30,1.989,34.82,38.43,38.14,40.21,849.57,850.47,185.183334,17.30,0.9459,321,0,12.352,1.88305,4.15,53975,40.564723,-105.073033,1526.0,12,0.042662,0.7
0:17:57,1657221540,2022-07-07T19:19:00,2022-07-07T13:19:00,1.988,35.81,38.39,38.07,40.19,849.69,850.58,181.983337,17.59,0.9461,321,0,12.351,1.88245,4.15,53963,40.564728,-105.073048,1526.6,12,0.009252,0.7
0:18:27,1657221570,2022-07-07T19:19:30,2022-07-07T13:19:30,1.987,36.81,38.34,37.99,40.11,849.59,850.67,185.766663,16.71,0.9466,320,0,12.350,1.88065,4.15,53951,40.564729,-105.073063,1527.0,12,0.038036,0.7
0:18:57,1657221600,2022-07-07T19:20:00,2022-07-07T13:20:00,1.989,37.80,38.28,37.91,40.07,849.66,850.63,187.466660,17.34,0.9466,320,0,12.364,1.88394,4.15,53940,40.564730,-105.073061,1527.2,12,0.004112,0.7
0:19:27,1657221630,2022-07-07T19:20:30,2022-07-07T13:20:30,1.990,38.80,38.25,37.82,39.98,849.69,850.66,185.500000,18.01,0.9465,320,0,12.366,1.88275,4.15,53928,40.564742,-105.073059,1527.0,12,0.013364,0.7
0:19:57,1657221660,2022-07-07T19:21:00,2022-07-07T13:21:00,1.988,39.79,38.19,37.74,39.99,849.54,850.72,184.366669,17.22,0.9470,319,0,12.364,1.88155,4.15,53916,40.564754,-105.073068,1526.5,12,0.011308,0.7
0:20:27,1657221690,2022-07-07T19:21:30,2022-07-07T13:21:30,1.991,40.79,38.15,37.70,39.94,849.55,850.86,185.100006,17.26,0.9473,319,0,12.378,1.88905,4.15,53904,40.564743,-105.073054,1529.1,12,0.022616,0.7
0:20:57,1657221720,2022-07-07T19:22:00,2022-07-07T13:22:00,1.991,41.78,38.11,37.63,39.90,849.56,850.84,184.850006,17.32,0.9474,319,0,12.379,1.88724,4.15,53892,40.564733,-105.073046,1529.5,12,0.033410,0.7
0:21:27,1657221750,2022-07-07T19:22:30,2022-07-07T13:22:30,1.990,42.78,38.07,37.57,39.83,849.62,850.87,185.899994,17.23,0.9476,319,0,12.381,1.88484,4.15,53880,40.564728,-105.073049,1527.4,12,0.039578,0.7
0:21:57,1657221780,2022-07-07T19:23:00,2022-07-07T13:23:00,1.989,43.77,38.02,37.52,39.83,849.55,850.93,185.883331,17.39,0.9478,318,0,12.382,1.88245,4.14,53869,40.564723,-105.073055,1524.7,12,0.027242,0.7
0:22:27,1657221810,2022-07-07T19:23:30,2022-07-07T13:23:30,1.992,44.77,37.98,37.43,39.75,849.48,850.94,183.966660,17.14,0.9480,318,0,12.394,1.88935,4.14,53857,40.564722,-105.073059,1523.1,12,0.035980,0.7
0:22:57,1657221840,2022-07-07T19:24:00,2022-07-07T13:24:00,1.991,45.76,37.93,37.38,39.72,849.57,850.89,185.149994,17.23,0.9481,318,0,12.393,1.89446,4.14,53845,40.564708,-105.073048,1526.2,12,0.019018,0.8
0:23:27,1657221870,2022-07-07T19:24:30,2022-07-07T13:24:30,1.990,46.76,37.88,37.32,39.67,849.39,850.87,185.183334,17.46,0.9481,318,0,12.393,1.88995,4.14,53833,40.564718,-105.073056,1526.7,12,0.013878,0.7
0:23:57,1657221900,2022-07-07T19:25:00,2022-07-07T13:25:00,1.990,47.75,37.83,37.25,39.65,849.48,850.93,187.433334,17.48,0.9484,318,0,12.389,1.88845,4.14,53821,40.564730,-105.073068,1526.9,12,0.055512,0.7
0:24:27,1657221930,2022-07-07T19:25:30,2022-07-07T13:25:30,1.990,48.75,37.80,37.20,39.59,849.46,850.96,183.816666,17.61,0.9485,318,0,12.392,1.88694,4.14,53809,40.564731,-105.073068,1526.2,12,0.024158,0.7
0:24:57,1657221960,2022-07-07T19:26:00,2022-07-07T13:26:00,1.990,49.74,37.74,37.12,39.53,849.47,850.89,181.199997,18.03,0.9485,318,0,12.393,1.89356,4.14,53798,40.564729,-105.073066,1526.7,12,0.022102,0.7
0:25:27,1657221990,2022-07-07T19:26:30,2022-07-07T13:26:30,1.989,50.74,37.71,37.08,39.49,849.42,850.90,185.916672,18.31,0.9485,317,0,12.392,1.88664,4.14,53786,40.564734,-105.073072,1525.2,12,0.034952,0.7
0:25:57,1657222020,2022-07-07T19:27:00,2022-07-07T13:27:00,1.993,51.73,37.68,37.03,39.46,849.49,850.87,186.733337,18.68,0.9485,317,0,12.406,1.88875,4.14,53774,40.564730,-105.073068,1525.3,12,0.019532,0.7
0:26:27,1657222050,2022-07-07T19:27:30,2022-07-07T13:27:30,1.992,52.73,37.64,36.99,39.41,849.41,850.96,186.100006,18.47,0.9488,317,0,12.406,1.89025,4.13,53762,40.564726,-105.073071,1525.3,12,0.039064,0.8
0:26:57,1657222080,2022-07-07T19:28:00,2022-07-07T13:28:00,1.991,53.73,37.60,36.95,39.37,849.34,850.91,186.000000,18.41,0.9489,317,0,12.405,1.88755,4.13,53750,40.564725,-105.073076,1525.8,12,0.056026,0.7
0:27:27,1657222110,2022-07-07T19:28:30,2022-07-07T13:28:30,1.991,54.72,37.58,36.88,39.34,849.40,850.96,184.750000,18.33,0.9490,317,0,12.404,1.88995,4.13,53738,40.564732,-105.073085,1524.1,12,0.005654,0.6
0:27:57,1657222140,2022-07-07T19:29:00,2022-07-07T13:29:00,1.990,55.72,37.54,36.86,39.32,849.38,850.92,183.050003,18.43,0.9491,317,0,12.401,1.88484,4.13,53726,40.564729,-105.073072,1523.6,12,0.034952,0.6
0:28:27,1657222170,2022-07-07T19:29:30,2022-07-07T13:29:30,1.990,56.71,37.52,36.79,39.28,849.55,851.06,184.133331,18.12,0.9494,316,0,12.403,1.88604,4.13,53715,40.564713,-105.073050,1525.6,12,0.035980,0.6
0:28:57,1657222200,2022-07-07T19:30:00,2022-07-07T13:30:00,1.993,57.71,37.48,36.74,39.27,849.42,851.09,186.266663,18.74,0.9494,316,0,12.421,1.88875,4.13,53703,40.564720,-105.073060,1525.4,12,0.017990,0.6
0:29:27,1657222230,2022-07-07T19:30:30,2022-07-07T13:30:30,1.992,58.70,37.45,36.72,39.24,849.32,851.07,186.000000,18.46,0.9495,316,0,12.418,1.89175,4.13,53691,40.564720,-105.073056,1525.0,12,0.001542,0.6
0:29:57,1657222260,2022-07-07T19:31:00,2022-07-07T13:31:00,1.992,59.70,37.42,36.64,39.19,849.38,851.05,186.416672,18.60,0.9496,316,0,12.418,1.88875,4.13,53679,40.564721,-105.073063,1523.4,12,0.020560,0.6
0:30:27,1657222290,2022-07-07T19:31:30,2022-07-07T13:31:30,1.992,60.69,37.39,36.60,39.20,849.47,851.10,186.616669,18.62,0.9497,316,0,12.417,1.88604,4.13,53667,40.564722,-105.073062,1523.1,12,0.029298,0.7
0:30:57,1657222320,2022-07-07T19:32:00,2022-07-07T13:32:00,1.990,61.69,37.36,36.56,39.10,849.45,851.05,188.100006,18.44,0.9498,316,0,12.418,1.88785,4.13,53655,40.564713,-105.073058,1524.4,12,0.015420,0.6
0:31:27,1657222350,2022-07-07T19:32:30,2022-07-07T13:32:30,1.991,62.69,37.33,36.52,39.08,849.43,851.06,186.783340,18.48,0.9499,316,0,12.418,1.89085,4.12,53643,40.564716,-105.073054,1522.6,12,0.014392,0.6
0:31:57,1657222380,2022-07-07T19:33:00,2022-07-07T13:33:00,1.990,63.68,37.30,36.50,39.08,849.43,851.17,186.116669,18.45,0.9501,315,0,12.418,1.88965,4.12,53631,40.564706,-105.073052,1523.2,12,0.014392,0.6
0:32:27,1657222410,2022-07-07T19:33:30,2022-07-07T13:33:30,1.994,64.68,37.28,36.45,39.04,849.57,851.14,185.066666,18.42,0.9502,315,0,12.433,1.89235,4.12,53620,40.564716,-105.073058,1523.3,12,0.016962,0.6
0:32:57,1657222440,2022-07-07T19:34:00,2022-07-07T13:34:00,1.994,65.67,37.25,36.41,39.02,849.47,851.15,186.066666,18.63,0.9502,315,0,12.432,1.89717,4.12,53608,40.564719,-105.073055,1520.7,12,0.017476,0.6
0:33:27,1657222470,2022-07-07T19:34:30,2022-07-07T13:34:30,1.992,66.67,37.23,36.37,38.99,849.37,851.21,185.366669,18.58,0.9504,315,0,12.433,1.89326,4.12,53596,40.564720,-105.073061,1520.7,12,0.006168,0.6
0:33:57,1657222500,2022-07-07T19:35:00,2022-07-07T13:35:00,1.992,67.67,37.21,36.32,38.96,849.37,851.18,185.566666,18.81,0.9504,315,0,12.431,1.89537,4.12,53584,40.564713,-105.073065,1520.5,12,0.012336,0.6
0:34:27,1657222530,2022-07-07T19:35:30,2022-07-07T13:35:30,1.992,68.66,37.18,36.27,38.94,849.43,851.29,185.500000,18.84,0.9506,315,0,12.430,1.89567,4.12,53572,40.564726,-105.073061,1520.9,12,0.043176,0.6
0:34:57,1657222560,2022-07-07T19:36:00,2022-07-07T13:36:00,1.992,69.66,37.14,36.25,38.90,849.41,851.24,186.916672,18.37,0.9508,315,0,12.432,1.89115,4.12,53560,40.564753,-105.073069,1516.6,12,0.016962,0.6
0:35:27,1657222590,2022-07-07T19:36:30,2022-07-07T13:36:30,1.990,70.65,37.11,36.21,38.89,849.47,851.25,182.766663,18.26,0.9509,315,0,12.431,1.89266,4.12,53548,40.564760,-105.073078,1519.0,12,0.023644,0.6
0:35:57,1657222620,2022-07-07T19:37:00,2022-07-07T13:37:00,1.990,71.65,37.08,36.19,38.85,849.56,851.28,185.333328,18.64,0.9509,315,0,12.430,1.89326,4.12,53536,40.564745,-105.073075,1522.4,12,0.019018,0.6
0:36:27,1657222650,2022-07-07T19:37:30,2022-07-07T13:37:30,1.989,72.64,37.05,36.15,38.78,849.49,851.26,182.566666,18.52,0.9511,315,0,12.428,1.89446,4.12,53524,40.564737,-105.073065,1523.0,12,0.010280,0.6
0:36:57,1657222680,2022-07-07T19:38:00,2022-07-07T13:38:00,1.989,73.64,37.03,36.11,38.80,849.36,851.26,185.983337,18.94,0.9510,315,0,12.429,1.89326,4.11,53512,40.564734,-105.073062,1523.9,12,0.020560,0.6
0:37:27,1657222710,2022-07-07T19:38:30,2022-07-07T13:38:30,1.989,74.63,37.00,36.07,38.74,849.47,851.29,186.266663,18.93,0.9511,315,0,12.429,1.89446,4.11,53501,40.564728,-105.073053,1526.8,12,0.010280,0.6
0:37:57,1657222740,2022-07-07T19:39:00,2022-07-07T13:39:00,1.988,75.63,36.97,36.04,38.75,849.42,851.27,183.649994,18.71,0.9513,315,0,12.427,1.89266,4.11,53489,40.564746,-105.073060,1526.4,12,0.022102,0.6
0:38:27,1657222770,2022-07-07T19:39:30,2022-07-07T13:39:30,1.989,76.62,36.94,35.98,38.71,849.49,851.27,184.866669,18.92,0.9513,315,0,12.429,1.89416,4.11,53477,40.564755,-105.073061,1522.6,12,0.011822,0.6
0:38:57,1657222800,2022-07-07T19:40:00,2022-07-07T13:40:00,1.988,77.61,36.91,35.96,38.68,849.44,851.27,187.916672,19.21,0.9513,315,0,12.427,1.89296,4.11,53465,40.564763,-105.073058,1521.3,12,0.003598,0.6
0:39:27,1657222830,2022-07-07T19:40:30,2022-07-07T13:40:30,1.988,78.61,36.87,35.94,38.65,849.36,851.39,186.250000,19.14,0.9516,314,0,12.429,1.88785,4.11,53453,40.564766,-105.073067,1519.3,12,0.020560,0.6
0:39:57,1657222860,2022-07-07T19:41:00,2022-07-07T13:41:00,1.991,79.60,36.84,35.90,38.60,849.56,851.37,187.233337,19.62,0.9516,314,0,12.443,1.89296,4.11,53441,40.564761,-105.073066,1521.1,12,0.009766,0.6
0:40:27,1657222890,2022-07-07T19:41:30,2022-07-07T13:41:30,1.991,80.60,36.81,35.87,38.58,849.46,851.42,186.733337,19.59,0.9518,314,0,12.442,1.90019,4.11,53429,40.564750,-105.073057,1525.0,12,0.014906,0.6
0:40:57,1657222920,2022-07-07T19:42:00,2022-07-07T13:42:00,1.990,81.59,36.77,35.83,38.60,849.47,851.35,187.783340,19.68,0.9518,314,0,12.444,1.89145,4.11,53417,40.564735,-105.073070,1524.0,12,0.032896,0.6
0:41:27,1657222950,2022-07-07T19:42:30,2022-07-07T13:42:30,1.989,82.59,36.74,35.79,38.53,849.45,851.46,187.033340,19.31,0.9521,313,0,12.441,1.89235,4.11,53405,40.564742,-105.073073,1524.0,12,0.020560,0.6
0:41:57,1657222980,2022-07-07T19:43:00,2022-07-07T13:43:00,1.993,83.59,36.71,35.74,38.45,849.54,851.30,185.149994,19.04,0.9521,313,0,12.458,1.89657,4.11,53393,40.564748,-105.073089,1524.8,12,0.023644,0.6
0:42:27,1657223010,2022-07-07T19:43:30,2022-07-07T13:43:30,1.992,84.58,36.67,35.69,38.47,849.38,851.31,186.833328,19.23,0.9522,313,0,12.457,1.89808,4.10,53381,40.564749,-105.073099,1525.0,12,0.007710,0.6
0:42:57,1657223040,2022-07-07T19:44:00,2022-07-07T13:44:00,1.992,85.58,36.64,35.67,38.40,849.41,851.31,182.583328,19.08,0.9523,313,0,12.458,1.90080,4.10,53369,40.564747,-105.073102,1523.2,12,0.015934,0.6
0:43:27,1657223070,2022-07-07T19:44:30,2022-07-07T13:44:30,1.991,86.57,36.62,35.63,38.40,849.44,851.32,185.733337,19.06,0.9524,313,0,12.457,1.89326,4.10,53357,40.564752,-105.073103,1522.8,12,0.025186,0.6
0:43:57,1657223100,2022-07-07T19:45:00,2022-07-07T13:45:00,1.991,87.57,36.59,35.58,38.37,849.37,851.37,185.233337,19.16,0.9525,313,0,12.458,1.89717,4.10,53345,40.564741,-105.073071,1525.7,12,0.026214,0.6
0:44:27,1657223130,2022-07-07T19:45:30,2022-07-07T13:45:30,1.990,88.56,36.56,35.57,38.31,849.51,851.38,186.783340,19.31,0.9526,312,0,12.455,1.89446,4.10,53334,40.564752,-105.073058,1524.1,12,0.022102,0.6
0:44:57,1657223160,2022-07-07T19:46:00,2022-07-07T13:46:00,1.993,89.56,36.54,35.54,38.28,849.38,851.38,184.916672,19.37,0.9527,312,0,12.476,1.90201,4.10,53322,40.564762,-105.073069,1521.5,12,0.025700,0.6
0:45:27,1657223190,2022-07-07T19:46:30,2022-07-07T13:46:30,1.994,90.56,36.51,35.50,38.26,849.39,851.36,185.666672,19.51,0.9527,312,0,12.475,1.89778,4.10,53310,40.564752,-105.073051,1519.5,12,0.038036,0.7
0:45:57,1657223220,2022-07-07T19:47:00,2022-07-07T13:47:00,1.993,91.55,36.50,35.43,38.28,849.44,851.33,186.250000,19.01,0.9528,312,0,12.472,1.89868,4.10,53298,40.564748,-105.073053,1519.1,12,0.015420,0.6
0:46:27,1657223250,2022-07-07T19:47:30,2022-07-07T13:47:30,1.992,92.55,36.46,35.43,38.21,849.35,851.34,186.300003,18.47,0.9531,312,0,12.474,1.89356,4.10,53286,40.564748,-105.073049,1519.4,12,0.021074,0.6
0:46:57,1657223280,2022-07-07T19:48:00,2022-07-07T13:48:00,1.991,93.55,36.44,35.38,38.21,849.18,851.26,185.683334,18.81,0.9530,312,0,12.472,1.89446,4.10,53274,40.564750,-105.073064,1519.6,12,0.009252,0.6
