(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
59:28:57,1657434600,2022-07-10T06:29:57,2022-07-10T00:30:00,1.992,7130.24,32.69,30.89,34.20,849.52,852.84,190.149994,19.95,0.9672,294,0,12.734,1.93274,4.13,53973,40.564690,-105.073036,1530.1,12,0.074530,0.8
59:29:27,1657434630,2022-07-10T06:30:27,2022-07-10T00:30:30,1.994,7131.23,32.67,30.89,34.17,849.50,852.77,190.850006,20.37,0.9671,294,0,12.730,1.92693,4.13,53961,40.564672,-105.073030,1533.5,12,0.047802,0.8
59:29:57,1657434660,2022-07-10T06:30:57,2022-07-10T00:31:00,1.994,7132.23,32.66,30.87,34.15,849.39,852.84,191.649994,20.55,0.9672,294,0,12.731,1.92662,4.13,53949,40.564644,-105.073033,1539.5,12,0.253402,0.9
59:30:27,1657434690,2022-07-10T06:31:27,2022-07-10T00:31:30,1.994,7133.22,32.63,30.81,34.15,849.54,852.84,191.300003,20.68,0.9672,294,0,12.731,1.92662,4.13,53938,40.564640,-105.073027,1541.0,12,0.079670,0.7
59:30:57,1657434720,2022-07-10T06:31:57,2022-07-10T00:32:00,1.991,7134.22,32.60,30.81,34.18,849.44,852.83,186.699997,20.69,0.9673,294,0,12.733,1.92296,4.13,53926,40.564654,-105.073028,1537.0,12,0.085838,0.7
59:31:27,1657434750,2022-07-10T06:32:27,2022-07-10T00:32:30,1.991,7135.22,32.59,30.78,34.12,849.63,852.88,186.449997,20.21,0.9675,294,0,12.731,1.92907,4.13,53914,40.564625,-105.073005,1542.9,12,0.044718,0.7
59:31:57,1657434780,2022-07-10T06:32:57,2022-07-10T00:33:00,1.989,7136.21,32.56,30.76,34.08,849.41,852.85,188.016663,20.39,0.9675,294,0,12.731,1.92815,4.13,53902,40.564635,-105.073008,1544.5,12,0.006168,0.8
59:32:27,1657434810,2022-07-10T06:33:27,2022-07-10T00:33:30,1.990,7137.21,32.54,30.73,34.10,849.50,852.83,190.633331,20.07,0.9677,293,0,12.733,1.92204,4.13,53890,40.564635,-105.073001,1541.6,12,0.078128,0.8
59:32:57,1657434840,2022-07-10T06:33:57,2022-07-10T00:34:00,1.994,7138.20,32.52,30.71,34.07,849.56,852.86,189.883331,19.93,0.9678,293,0,12.750,1.92632,4.12,53878,40.564625,-105.072997,1545.6,12,0.044204,0.9
59:33:27,1657434870,2022-07-10T06:34:27,2022-07-10T00:34:30,1.991,7139.20,32.50,30.68,34.03,849.48,852.86,189.083328,19.17,0.9680,293,0,12.749,1.92723,4.12,53867,40.564650,-105.073020,1540.9,12,0.071960,0.9
59:33:57,1657434900,2022-07-10T06:34:57,2022-07-10T00:35:00,1.993,7140.20,32.51,30.65,34.01,849.48,852.86,190.716660,20.03,0.9678,293,0,12.746,1.92632,4.12,53855,40.564679,-105.073027,1530.2,12,0.078642,0.8
59:34:27,1657434930,2022-07-10T06:35:27,2022-07-10T00:35:30,1.992,7141.19,32.48,30.65,34.01,849.51,852.90,188.449997,20.25,0.9679,293,0,12.747,1.92999,4.12,53843,40.564651,-105.072996,1536.8,12,0.058596,0.7
59:34:57,1657434960,2022-07-10T06:35:57,2022-07-10T00:36:00,1.993,7142.19,32.47,30.63,33.97,849.35,852.94,189.800003,20.65,0.9679,293,0,12.748,1.93060,4.12,53831,40.564664,-105.073027,1535.5,12,0.057054,0.7
59:35:27,1657434990,2022-07-10T06:36:27,2022-07-10T00:36:30,1.993,7143.18,32.45,30.58,33.99,849.55,852.84,190.583328,20.25,0.9679,293,0,12.748,1.92479,4.12,53819,40.564688,-105.073062,1533.8,12,0.025700,0.7
59:35:57,1657435020,2022-07-10T06:36:57,2022-07-10T00:37:00,1.991,7144.18,32.44,30.56,33.99,849.45,852.92,188.199997,20.34,0.9680,293,0,12.746,1.93060,4.12,53807,40.564711,-105.073076,1530.1,12,0.035466,0.7
59:36:27,1657435050,2022-07-10T06:37:27,2022-07-10T00:37:30,1.992,7145.18,32.43,30.58,33.94,849.47,852.92,186.783340,20.22,0.9681,293,0,12.748,1.92509,4.12,53796,40.564739,-105.073076,1525.1,12,0.076072,0.7
59:36:57,1657435080,2022-07-10T06:37:57,2022-07-10T00:38:00,1.991,7146.17,32.43,30.57,33.97,849.56,852.98,190.933334,20.32,0.9681,293,0,12.748,1.92509,4.12,53784,40.564760,-105.073064,1524.8,12,0.050372,0.7
59:37:27,1657435110,2022-07-10T06:38:27,2022-07-10T00:38:30,1.991,7147.17,32.41,30.52,33.92,849.53,852.99,191.600006,20.19,0.9683,293,0,12.748,1.92723,4.12,53772,40.564739,-105.073065,1525.2,12,0.040092,0.7
59:37:57,1657435140,2022-07-10T06:38:57,2022-07-10T00:39:00,1.991,7148.17,32.40,30.52,33.95,849.53,852.92,187.983337,20.09,0.9682,293,0,12.748,1.93152,4.11,53760,40.564701,-105.073062,1532.1,12,0.040092,0.7
59:38:27,1657435170,2022-07-10T06:39:27,2022-07-10T00:39:30,1.990,7149.16,32.39,30.50,33.90,849.62,853.02,190.133331,20.32,0.9683,293,0,12.745,1.93090,4.11,53748,40.564689,-105.073046,1535.2,12,0.013878,0.7
59:38:57,1657435200,2022-07-10T06:39:57,2022-07-10T00:40:00,1.990,7150.16,32.38,30.49,33.85,849.48,852.97,192.050003,20.27,0.9683,293,0,12.748,1.92907,4.11,53736,40.564705,-105.073054,1529.5,12,0.051400,0.7
59:39:27,1657435230,2022-07-10T06:40:27,2022-07-10T00:40:30,1.990,7151.15,32.37,30.45,33.88,849.43,853.00,191.316666,20.23,0.9684,292,0,12.746,1.92387,4.11,53725,40.564663,-105.073017,1535.4,12,0.025186,0.8
59:39:57,1657435260,2022-07-10T06:40:57,2022-07-10T00:41:00,1.994,7152.15,32.36,30.48,33.85,849.54,853.08,189.533340,17.84,0.9690,292,0,12.764,1.93366,4.11,53713,40.564639,-105.072999,1541.4,12,0.046260,1.0
59:40:27,1657435290,2022-07-10T06:41:27,2022-07-10T00:41:30,1.993,7153.15,32.35,30.47,33.85,849.54,852.97,189.449997,19.93,0.9685,292,0,12.764,1.93366,4.11,53701,40.564631,-105.073018,1542.1,12,0.002570,0.7
59:40:57,1657435320,2022-07-10T06:41:57,2022-07-10T00:42:00,1.993,7154.14,32.34,30.44,33.85,849.46,853.03,189.250000,20.49,0.9685,292,0,12.764,1.92723,4.11,53689,40.564630,-105.073027,1542.5,12,0.019532,0.7
59:41:27,1657435350,2022-07-10T06:42:27,2022-07-10T00:42:30,1.991,7155.14,32.33,30.40,33.85,849.57,852.97,190.883331,19.78,0.9686,292,0,12.765,1.92784,4.11,53677,40.564668,-105.073052,1534.3,12,0.033410,0.8
59:41:57,1657435380,2022-07-10T06:42:57,2022-07-10T00:43:00,1.991,7156.13,32.34,30.39,33.83,849.54,853.00,188.683334,18.25,0.9689,292,0,12.763,1.92784,4.11,53665,40.564669,-105.073041,1532.4,12,0.048316,0.8
59:42:27,1657435410,2022-07-10T06:43:27,2022-07-10T00:43:30,1.992,7157.13,32.32,30.38,33.83,849.41,852.97,191.316666,19.35,0.9687,292,0,12.764,1.92968,4.11,53653,40.564662,-105.073041,1533.6,12,0.021588,0.9
59:42:57,1657435440,2022-07-10T06:43:57,2022-07-10T00:44:00,1.992,7158.13,32.33,30.37,33.83,849.38,853.05,189.350006,19.87,0.9687,292,0,12.764,1.93090,4.11,53641,40.564668,-105.073048,1534.0,12,0.030840,0.7
59:43:27,1657435470,2022-07-10T06:44:27,2022-07-10T00:44:30,1.991,7159.12,32.32,30.33,33.82,849.46,853.06,186.399994,20.09,0.9687,292,0,12.764,1.93029,4.10,53630,40.564659,-105.073041,1535.8,12,0.047802,0.7
59:43:57,1657435500,2022-07-10T06:44:57,2022-07-10T00:45:00,1.991,7160.12,32.32,30.35,33.78,849.52,853.11,189.266663,19.46,0.9689,292,0,12.764,1.92570,4.10,53618,40.564655,-105.073040,1537.3,12,0.042662,0.7
59:44:27,1657435530,2022-07-10T06:45:27,2022-07-10T00:45:30,1.991,7161.11,32.32,30.34,33.83,849.46,853.14,190.883331,19.65,0.9688,292,0,12.763,1.92937,4.10,53606,40.564641,-105.073020,1540.4,12,0.021588,0.7
59:44:57,1657435560,2022-07-10T06:45:57,2022-07-10T00:46:00,1.992,7162.11,32.31,30.31,33.81,849.50,853.19,191.983337,19.09,0.9691,292,0,12.762,1.92784,4.10,53594,40.564647,-105.073033,1539.5,12,0.026728,0.7
59:45:27,1657435590,2022-07-10T06:46:27,2022-07-10T00:46:30,1.991,7163.11,32.31,30.32,33.77,849.58,853.17,190.633331,18.75,0.9691,292,0,12.761,1.93090,4.10,53582,40.564659,-105.073051,1537.9,12,0.059110,0.7
59:45:57,1657435620,2022-07-10T06:46:57,2022-07-10T00:47:00,1.991,7164.10,32.30,30.28,33.78,849.55,853.22,190.000000,19.15,0.9691,292,0,12.763,1.92632,4.10,53570,40.564640,-105.073051,1540.4,12,0.026214,0.7
59:46:27,1657435650,2022-07-10T06:47:27,2022-07-10T00:47:30,1.990,7165.10,32.30,30.30,33.80,849.50,853.17,191.050003,18.98,0.9691,291,0,12.760,1.92754,4.10,53558,40.564672,-105.073066,1535.3,12,0.070418,0.8
59:46:57,1657435680,2022-07-10T06:47:57,2022-07-10T00:48:00,1.995,7166.09,32.30,30.28,33.80,849.50,853.17,189.016663,19.80,0.9689,291,0,12.780,1.93581,4.10,53546,40.564711,-105.073079,1527.5,12,0.034438,0.9
59:47:27,1657435710,2022-07-10T06:48:27,2022-07-10T00:48:30,1.995,7167.09,32.30,30.24,33.81,849.61,853.11,191.833328,20.01,0.9688,291,0,12.781,1.93397,4.10,53534,40.564704,-105.073085,1528.1,12,0.017990,0.7
59:47:57,1657435740,2022-07-10T06:48:57,2022-07-10T00:49:00,1.995,7168.09,32.29,30.25,33.78,849.53,853.19,191.833328,20.17,0.9689,291,0,12.781,1.93673,4.10,53523,40.564668,-105.073054,1534.9,12,0.026214,0.7
59:48:27,1657435770,2022-07-10T06:49:27,2022-07-10T00:49:30,1.995,7169.08,32.29,30.24,33.77,849.50,853.17,190.033340,20.55,0.9688,291,0,12.783,1.93152,4.10,53511,40.564658,-105.073040,1535.3,12,0.025700,0.8
59:48:57,1657435800,2022-07-10T06:49:57,2022-07-10T00:50:00,1.994,7170.08,32.28,30.25,33.79,849.56,853.14,191.916672,19.88,0.9689,291,0,12.780,1.92999,4.10,53499,40.564683,-105.073061,1529.1,12,0.054998,0.7
59:49:27,1657435830,2022-07-10T06:50:27,2022-07-10T00:50:30,1.994,7171.08,32.28,30.23,33.77,849.43,853.22,189.733337,20.22,0.9690,291,0,12.779,1.93274,4.09,53487,40.564676,-105.073049,1530.7,12,0.039578,0.8
59:49:57,1657435860,2022-07-10T06:50:57,2022-07-10T00:51:00,1.993,7172.07,32.25,30.40,33.77,849.54,852.92,192.216660,19.91,0.9688,291,0,12.795,1.93029,4.20,53501,40.564697,-105.073058,1528.8,12,0.069904,0.7
59:50:27,1657435890,2022-07-10T06:51:27,2022-07-10T00:51:30,1.994,7173.07,32.27,31.17,33.77,849.40,851.77,190.783340,20.16,0.9673,291,0,12.806,1.93796,4.20,53549,40.564683,-105.073046,1531.4,12,0.022102,0.8
59:50:57,1657435920,2022-07-10T06:51:57,2022-07-10T00:52:00,2.003,7174.06,32.31,31.90,33.78,849.47,850.90,191.266663,19.90,0.9663,291,0,12.818,1.93305,4.20,53594,40.564696,-105.073075,1530.5,12,0.024158,0.7
59:51:27,1657435950,2022-07-10T06:52:27,2022-07-10T00:52:30,2.006,7175.07,32.36,32.36,33.85,849.48,850.24,193.566666,19.99,0.9653,291,0,12.824,1.93888,4.20,53636,40.564693,-105.073082,1531.7,12,0.036494,0.7
59:51:57,1657435980,2022-07-10T06:52:57,2022-07-10T00:53:00,2.011,7176.07,32.42,32.82,33.90,849.40,849.66,193.050003,19.90,0.9645,292,0,12.829,1.94318,4.20,53676,40.564666,-105.073050,1537.7,12,0.027756,0.7
59:52:27,1657436010,2022-07-10T06:53:27,2022-07-10T00:53:30,2.009,7177.08,32.48,33.10,33.97,849.57,849.44,192.149994,19.61,0.9641,292,0,12.813,1.94011,4.20,53713,40.564672,-105.073040,1536.5,12,0.027756,0.8
59:52:57,1657436040,2022-07-10T06:53:57,2022-07-10T00:54:00,2.012,7178.09,32.54,33.34,34.03,849.31,849.19,193.833328,19.63,0.9636,293,0,12.817,1.94226,4.20,53749,40.564686,-105.073038,1534.1,12,0.014392,0.8
59:53:27,1657436070,2022-07-10T06:54:27,2022-07-10T00:54:30,2.009,7179.10,32.57,33.52,34.09,849.44,848.93,192.716660,19.63,0.9632,293,0,12.798,1.93427,4.20,53784,40.564692,-105.073039,1533.0,12,0.025700,0.7
59:53:57,1657436100,2022-07-10T06:54:57,2022-07-10T00:55:00,2.010,7180.11,32.63,33.65,34.12,849.62,848.82,193.316666,18.05,0.9632,293,0,12.797,1.93642,4.20,53816,40.564692,-105.073038,1533.8,12,0.037008,0.7
59:54:27,1657436130,2022-07-10T06:55:27,2022-07-10T00:55:30,2.011,7181.11,32.67,33.75,34.10,849.58,848.76,192.516663,19.57,0.9627,294,0,12.803,1.93673,4.20,53847,40.564687,-105.073024,1535.7,12,0.009252,0.7
59:54:57,1657436160,2022-07-10T06:55:57,2022-07-10T00:56:00,2.009,7182.12,32.70,33.80,34.18,849.68,848.75,188.266663,19.24,0.9626,294,0,12.781,1.93182,4.20,53877,40.564708,-105.073026,1531.9,12,0.027242,0.7
59:55:27,1657436190,2022-07-10T06:56:27,2022-07-10T00:56:30,2.009,7183.13,32.72,33.82,34.22,849.35,848.72,191.000000,17.62,0.9629,294,0,12.781,1.93489,4.20,53904,40.564703,-105.073039,1531.4,12,0.041120,0.8
59:55:57,1657436220,2022-07-10T06:56:57,2022-07-10T00:57:00,2.008,7184.13,32.75,33.84,34.26,849.51,848.74,190.850006,18.75,0.9626,294,0,12.783,1.92968,4.20,53931,40.564699,-105.073052,1530.4,12,0.035466,0.7
59:56:27,1657436250,2022-07-10T06:57:27,2022-07-10T00:57:30,2.008,7185.14,32.77,33.82,34.26,849.53,848.74,191.416672,18.65,0.9625,294,0,12.781,1.93427,4.20,53956,40.564704,-105.073051,1528.7,12,0.024158,0.7
59:56:57,1657436280,2022-07-10T06:57:57,2022-07-10T00:58:00,2.010,7186.15,32.79,33.80,34.32,849.53,848.82,189.233337,18.98,0.9625,294,0,12.779,1.93673,4.20,53980,40.564702,-105.073047,1529.4,12,0.040092,0.7
59:57:27,1657436310,2022-07-10T06:58:27,2022-07-10T00:58:30,2.009,7187.15,32.81,33.79,34.29,849.52,848.93,190.949997,18.74,0.9626,294,0,12.779,1.93581,4.20,54003,40.564713,-105.073049,1529.1,12,0.012336,0.7
59:57:57,1657436340,2022-07-10T06:58:57,2022-07-10T00:59:00,2.009,7188.16,32.82,33.72,34.31,849.52,848.90,190.616669,18.75,0.9625,294,0,12.778,1.93397,4.20,54025,40.564713,-105.073056,1529.9,12,0.014906,0.8
59:58:27,1657436370,2022-07-10T06:59:27,2022-07-10T00:59:30,2.008,7189.17,32.83,33.68,34.33,849.41,849.03,193.066666,18.85,0.9626,294,0,12.775,1.93213,4.20,54045,40.564704,-105.073079,1530.0,12,0.041634,0.7
59:58:57,1657436400,2022-07-10T06:59:57,2022-07-10T01:00:00,2.008,7190.17,32.82,33.60,34.35,849.36,849.17,193.783340,18.87,0.9628,294,0,12.778,1.92968,4.20,54065,40.564707,-105.073074,1527.4,12,0.051914,0.9
59:59:27,1657436430,2022-07-10T07:00:27,2022-07-10T01:00:30,2.007,7191.18,32.83,33.55,34.33,849.38,849.25,192.766663,19.33,0.9628,294,0,12.774,1.93274,4.20,54083,40.564697,-105.073060,1528.1,12,0.030326,0.7
59:59:57,1657436460,2022-07-10T07:00:57,2022-07-10T01:01:00,2.007,7192.18,32.83,33.48,34.33,849.43,849.41,190.433334,18.87,0.9630,294,0,12.773,1.92937,4.20,54100,40.564699,-105.073052,1530.7,12,0.054998,0.8
60:00:27,1657436490,2022-07-10T07:01:27,2022-07-10T01:01:30,2.007,7193.18,32.82,33.36,34.30,849.46,849.42,191.133331,18.99,0.9631,294,0,12.772,1.92937,4.20,54117,40.564691,-105.073057,1529.9,12,0.016962,0.9
60:00:57,1657436520,2022-07-10T07:01:57,2022-07-10T01:02:00,2.006,7194.19,32.81,33.28,34.35,849.36,849.58,190.966660,19.14,0.9632,294,0,12.771,1.92907,4.20,54133,40.564692,-105.073051,1530.3,12,0.028270,0.7
60:01:27,1657436550,2022-07-10T07:02:27,2022-07-10T01:02:30,2.006,7195.19,32.80,33.24,34.31,849.50,849.61,192.750000,18.75,0.9634,294,0,12.768,1.93213,4.20,54148,40.564698,-105.073053,1530.4,12,0.041120,0.9
60:01:57,1657436580,2022-07-10T07:02:57,2022-07-10T01:03:00,2.005,7196.19,32.80,33.12,34.31,849.39,849.69,192.899994,19.39,0.9633,294,0,12.765,1.92876,4.20,54162,40.564696,-105.073044,1532.4,12,0.083782,0.8
60:02:27,1657436610,2022-07-10T07:03:27,2022-07-10T01:03:30,2.005,7197.19,32.78,33.06,34.33,849.36,849.83,188.949997,19.48,0.9635,294,0,12.767,1.93581,4.20,54175,40.564698,-105.073053,1530.6,12,0.016962,0.7
60:02:57,1657436640,2022-07-10T07:03:57,2022-07-10T01:04:00,2.004,7198.19,32.77,32.99,34.30,849.42,849.80,191.550003,19.57,0.9635,294,0,12.765,1.93152,4.20,54188,40.564678,-105.073070,1531.6,12,0.022102,0.7
60:03:27,1657436670,2022-07-10T07:04:27,2022-07-10T01:04:30,2.003,7199.18,32.75,32.93,34.24,849.40,849.97,192.899994,19.57,0.9638,294,0,12.762,1.92999,4.20,54200,40.564674,-105.073061,1532.5,12,0.026214,0.7
60:03:57,1657436700,2022-07-10T07:04:57,2022-07-10T01:05:00,2.002,7200.18,32.73,32.86,34.26,849.35,850.05,192.583328,19.55,0.9640,294,0,12.763,1.93152,4.20,54211,40.564667,-105.073052,1534.0,12,0.048830,0.8
60:04:27,1657436730,2022-07-10T07:05:27,2022-07-10T01:05:30,2.002,7201.18,32.71,32.75,34.23,849.47,850.16,189.850006,19.61,0.9641,294,0,12.760,1.93244,4.20,54222,40.564682,-105.073051,1532.4,12,0.009766,0.7
60:04:57,1657436760,2022-07-10T07:05:57,2022-07-10T01:06:00,2.001,7202.17,32.70,32.69,34.24,849.30,850.27,193.366669,19.17,0.9644,294,0,12.762,1.93397,4.20,54232,40.564689,-105.073065,1534.5,12,0.047288,0.7
60:05:27,1657436790,2022-07-10T07:06:27,2022-07-10T01:06:30,2.000,7203.17,32.68,32.60,34.19,849.39,850.28,188.916672,18.65,0.9646,294,0,12.761,1.92357,4.20,54242,40.564685,-105.073056,1533.0,12,0.010794,0.7
60:05:57,1657436820,2022-07-10T07:06:57,2022-07-10T01:07:00,2.000,7204.16,32.65,32.54,34.19,849.26,850.23,192.166672,19.51,0.9644,294,0,12.759,1.92968,4.20,54251,40.564705,-105.073061,1528.9,12,0.023644,0.7
60:06:27,1657436850,2022-07-10T07:07:27,2022-07-10T01:07:30,2.000,7205.16,32.65,32.49,34.19,849.31,850.45,191.800003,18.87,0.9648,294,0,12.760,1.93152,4.20,54260,40.564705,-105.073069,1528.0,12,0.056540,0.7
60:06:57,1657436880,2022-07-10T07:07:57,2022-07-10T01:08:00,1.998,7206.16,32.63,32.38,34.15,849.29,850.48,190.483337,19.01,0.9649,294,0,12.756,1.93305,4.20,54268,40.564709,-105.073081,1529.3,12,0.017476,0.7
60:07:27,1657436910,2022-07-10T07:08:27,2022-07-10T01:08:30,1.998,7207.15,32.62,32.35,34.12,849.34,850.59,192.583328,18.62,0.9651,294,0,12.753,1.93152,4.20,54276,40.564721,-105.073083,1525.7,12,0.016962,0.7
60:07:57,1657436940,2022-07-10T07:08:57,2022-07-10T01:09:00,1.996,7208.15,32.61,32.29,34.12,849.46,850.67,191.016663,18.92,0.9652,294,0,12.753,1.92357,4.20,54284,40.564723,-105.073081,1522.7,12,0.039578,0.7
60:08:27,1657436970,2022-07-10T07:09:27,2022-07-10T01:09:30,1.997,7209.14,32.58,32.24,34.10,849.41,850.65,190.516663,18.96,0.9653,294,0,12.753,1.92479,4.20,54291,40.564714,-105.073056,1528.1,12,0.029812,0.8
60:08:57,1657437000,2022-07-10T07:09:57,2022-07-10T01:10:00,1.997,7210.14,32.58,32.18,34.10,849.30,850.78,187.949997,18.44,0.9655,294,0,12.753,1.92662,4.20,54297,40.564712,-105.073050,1530.8,12,0.014392,0.7
60:09:27,1657437030,2022-07-10T07:10:27,2022-07-10T01:10:30,1.997,7211.14,32.56,32.11,34.07,849.28,850.81,188.949997,18.58,0.9656,294,0,12.750,1.92907,4.20,54304,40.564715,-105.073067,1528.0,12,0.003084,0.8
60:09:57,1657437060,2022-07-10T07:10:57,2022-07-10T01:11:00,1.996,7212.13,32.56,32.07,34.08,849.39,850.78,189.433334,18.37,0.9656,294,0,12.750,1.92601,4.20,54310,40.564713,-105.073076,1526.5,12,0.016962,0.8
60:10:27,1657437090,2022-07-10T07:11:27,2022-07-10T01:11:30,1.996,7213.13,32.54,32.02,34.08,849.31,850.93,189.716660,19.11,0.9657,294,0,12.750,1.92968,4.20,54316,40.564709,-105.073069,1529.0,12,0.041634,0.8
60:10:57,1657437120,2022-07-10T07:11:57,2022-07-10T01:12:00,1.996,7214.13,32.53,31.96,34.06,849.28,850.92,192.133331,19.35,0.9657,294,0,12.749,1.92204,4.20,54321,40.564705,-105.073073,1529.2,12,0.033410,1.0
60:11:27,1657437150,2022-07-10T07:12:27,2022-07-10T01:12:30,1.995,7215.12,32.53,31.92,34.03,849.37,850.90,188.316666,19.04,0.9657,294,0,12.750,1.92723,4.20,54326,40.564698,-105.073058,1531.0,12,0.032382,0.8
60:11:57,1657437180,2022-07-10T07:12:57,2022-07-10T01:13:00,1.995,7216.12,32.51,31.88,34.06,849.29,850.98,188.800003,19.06,0.9659,294,0,12.749,1.92448,4.20,54331,40.564694,-105.073046,1533.9,12,0.017990,0.7
60:12:27,1657437210,2022-07-10T07:13:27,2022-07-10T01:13:30,1.995,7217.11,32.49,31.83,34.04,849.21,851.04,188.683334,19.27,0.9660,294,0,12.749,1.92540,4.20,54336,40.564698,-105.073063,1530.6,12,0.032382,0.7
60:12:57,1657437240,2022-07-10T07:13:57,2022-07-10T01:14:00,1.995,7218.11,32.48,31.79,34.01,849.37,851.01,189.666672,18.90,0.9660,294,0,12.745,1.92601,4.17,54336,40.564708,-105.073062,1529.0,12,0.019018,0.7
60:13:27,1657437270,2022-07-10T07:14:27,2022-07-10T01:14:30,1.994,7219.11,32.47,31.68,33.98,849.38,851.26,189.050003,18.58,0.9664,294,0,12.739,1.92754,4.17,54325,40.564713,-105.073060,1529.6,12,0.017476,0.7
60:13:57,1657437300,2022-07-10T07:14:57,2022-07-10T01:15:00,1.992,7220.10,32.45,31.49,33.95,849.27,851.45,188.100006,16.98,0.9670,294,0,12.738,1.92601,4.17,54313,40.564700,-105.073054,1530.9,12,0.026214,0.7
60:14:27,1657437330,2022-07-10T07:15:27,2022-07-10T01:15:30,1.991,7221.10,32.43,31.33,33.97,849.31,851.59,187.883331,18.43,0.9670,294,0,12.738,1.92357,4.16,54301,40.564704,-105.073055,1528.6,12,0.010280,0.7
60:14:57,1657437360,2022-07-10T07:15:57,2022-07-10T01:16:00,1.990,7222.09,32.41,31.25,33.90,849.34,851.73,189.133331,18.12,0.9673,294,0,12.737,1.92784,4.16,54289,40.564704,-105.073047,1525.6,12,0.021074,0.7
60:15:27,1657437390,2022-07-10T07:16:27,2022-07-10T01:16:30,1.988,7223.09,32.39,31.11,33.90,849.42,851.86,186.500000,16.88,0.9677,293,0,12.731,1.92204,4.16,54278,40.564718,-105.073054,1527.8,12,0.037008,0.7
60:15:57,1657437420,2022-07-10T07:16:57,2022-07-10T01:17:00,1.992,7224.09,32.37,31.04,33.91,849.24,852.03,186.750000,17.96,0.9678,293,0,12.749,1.92601,4.16,54266,40.564715,-105.073056,1529.0,12,0.032382,0.7
60:16:27,1657437450,2022-07-10T07:17:27,2022-07-10T01:17:30,1.991,7225.08,32.36,30.93,33.88,849.40,852.23,190.933334,17.94,0.9680,293,0,12.750,1.92907,4.16,54254,40.564709,-105.073043,1527.6,12,0.017990,0.7
60:16:57,1657437480,2022-07-10T07:17:57,2022-07-10T01:18:00,1.990,7226.08,32.34,30.84,33.83,849.38,852.17,187.266663,16.73,0.9683,293,0,12.748,1.92968,4.16,54243,40.564704,-105.073042,1528.6,12,0.014392,0.8
60:17:27,1657437510,2022-07-10T07:18:27,2022-07-10T01:18:30,1.988,7227.07,32.33,30.80,33.85,849.41,852.36,188.283340,17.30,0.9684,292,0,12.748,1.92418,4.16,54231,40.564694,-105.073027,1529.8,12,0.027756,0.8
60:17:57,1657437540,2022-07-10T07:18:57,2022-07-10T01:19:00,1.992,7228.07,32.31,30.75,33.76,849.28,852.37,189.100006,17.97,0.9684,292,0,12.769,1.93182,4.16,54219,40.564703,-105.073041,1531.6,12,0.034438,0.8
60:18:27,1657437570,2022-07-10T07:19:27,2022-07-10T01:19:30,1.992,7229.07,32.29,30.68,33.79,849.34,852.49,189.216660,17.53,0.9687,292,0,12.765,1.93182,4.15,54207,40.564719,-105.073061,1529.6,12,0.019018,0.8
60:18:57,1657437600,2022-07-10T07:19:57,2022-07-10T01:20:00,1.991,7230.06,32.28,30.61,33.79,849.37,852.49,188.983337,17.27,0.9687,292,0,12.763,1.93335,4.15,54196,40.564713,-105.073052,1529.4,12,0.013364,0.8
60:19:27,1657437630,2022-07-10T07:20:27,2022-07-10T01:20:30,1.990,7231.06,32.27,30.54,33.75,849.40,852.51,187.533340,17.19,0.9688,292,0,12.764,1.92937,4.15,54184,40.564706,-105.073057,1530.6,12,0.030326,0.8
60:19:57,1657437660,2022-07-10T07:20:57,2022-07-10T01:21:00,1.991,7232.05,32.25,30.49,33.73,849.40,852.59,189.899994,17.84,0.9688,292,0,12.765,1.92601,4.15,54172,40.564721,-105.073079,1528.2,12,0.009252,0.8
60:20:27,1657437690,2022-07-10T07:21:27,2022-07-10T01:21:30,1.990,7233.05,32.24,30.46,33.72,849.24,852.66,188.266663,16.92,0.9691,292,0,12.765,1.93305,4.15,54160,40.564711,-105.073058,1531.6,12,0.031868,0.8
60:20:57,1657437720,2022-07-10T07:21:57,2022-07-10T01:22:00,1.992,7234.05,32.23,30.43,33.69,849.30,852.62,188.899994,17.82,0.9689,292,0,12.763,1.92907,4.15,54148,40.564685,-105.073039,1534.5,12,0.020560,0.8
60:21:27,1657437750,2022-07-10T07:22:27,2022-07-10T01:22:30,1.988,7235.04,32.21,30.42,33.71,849.27,852.68,187.633331,18.11,0.9690,291,0,12.762,1.92693,4.15,54137,40.564688,-105.073049,1537.5,12,0.008224,0.8
60:21:57,1657437780,2022-07-10T07:22:57,2022-07-10T01:23:00,1.995,7236.04,32.20,30.36,33.72,849.33,852.72,189.949997,18.06,0.9691,291,0,12.782,1.93489,4.15,54125,40.564701,-105.073044,1534.2,12,0.004112,0.8
