(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
69:20:45,1657470120,2022-07-10T16:21:55,2022-07-10T10:22:00,2.009,8315.77,48.97,48.62,50.38,849.36,851.56,182.149994,7.42,0.9174,319,0,12.345,1.84294,4.20,53013,40.564805,-105.073037,1531.7,12,0.046260,0.9
69:21:15,1657470150,2022-07-10T16:22:25,2022-07-10T10:22:30,2.011,8316.77,48.96,48.71,50.40,849.38,851.51,181.850006,7.79,0.9172,319,0,12.345,1.84329,4.20,53037,40.564788,-105.073075,1530.7,12,0.022616,0.9
69:21:45,1657470180,2022-07-10T16:22:55,2022-07-10T10:23:00,2.012,8317.77,48.95,48.75,50.37,849.36,851.34,178.800003,7.85,0.9170,320,0,12.347,1.84755,4.20,53060,40.564760,-105.073069,1530.9,12,0.020560,0.9
69:22:15,1657470210,2022-07-10T16:23:25,2022-07-10T10:23:30,2.008,8318.76,48.92,48.80,50.35,849.33,851.30,180.550003,7.90,0.9170,320,0,12.328,1.84365,4.20,53083,40.564770,-105.073133,1522.1,12,0.300176,0.9
69:22:45,1657470240,2022-07-10T16:23:55,2022-07-10T10:24:00,2.009,8319.76,48.90,48.77,50.31,849.36,851.14,180.399994,8.14,0.9168,320,0,12.329,1.84223,4.20,53106,40.564760,-105.073168,1520.3,12,0.050372,0.9
69:23:15,1657470270,2022-07-10T16:24:25,2022-07-10T10:24:30,2.008,8320.75,48.86,48.77,50.28,849.35,851.26,178.050003,7.93,0.9172,320,0,12.330,1.84294,4.20,53128,40.564766,-105.073114,1526.2,12,0.192750,0.9
69:23:45,1657470300,2022-07-10T16:24:55,2022-07-10T10:25:00,2.008,8321.75,48.85,48.83,50.24,849.32,851.26,181.850006,7.69,0.9173,320,0,12.328,1.83976,4.20,53149,40.564768,-105.073098,1525.8,12,0.047802,0.9
69:24:15,1657470330,2022-07-10T16:25:25,2022-07-10T10:25:30,2.007,8322.75,48.82,48.78,50.25,849.32,851.24,182.199997,8.10,0.9172,320,0,12.327,1.84046,4.20,53169,40.564768,-105.073114,1520.2,12,0.081212,0.9
69:24:45,1657470360,2022-07-10T16:25:55,2022-07-10T10:26:00,2.008,8323.74,48.78,48.75,50.20,849.41,851.13,179.350006,8.02,0.9172,320,0,12.328,1.84082,4.20,53190,40.564788,-105.073158,1517.6,12,0.132612,1.3
69:25:15,1657470390,2022-07-10T16:26:25,2022-07-10T10:26:30,2.008,8324.74,48.76,48.76,50.15,849.36,851.08,181.350006,8.32,0.9171,320,0,12.327,1.84011,4.20,53209,40.564792,-105.073153,1518.5,12,0.049344,0.9
69:25:45,1657470420,2022-07-10T16:26:55,2022-07-10T10:27:00,2.006,8325.73,48.73,48.70,50.12,849.45,851.25,179.449997,8.24,0.9174,320,0,12.326,1.84046,4.20,53228,40.564770,-105.073102,1524.2,12,0.056540,0.9
69:26:15,1657470450,2022-07-10T16:27:25,2022-07-10T10:27:30,2.007,8326.73,48.68,48.66,50.10,849.38,851.26,178.449997,8.16,0.9176,320,0,12.325,1.84082,4.20,53247,40.564766,-105.073025,1532.6,12,0.016448,1.2
69:26:45,1657470480,2022-07-10T16:27:55,2022-07-10T10:28:00,2.006,8327.73,48.64,48.63,50.04,849.38,851.05,178.949997,7.79,0.9177,320,0,12.326,1.84329,4.20,53265,40.564772,-105.073009,1534.3,12,0.030326,0.9
69:27:15,1657470510,2022-07-10T16:28:25,2022-07-10T10:28:30,2.005,8328.72,48.60,48.59,49.99,849.44,851.09,177.750000,7.64,0.9179,320,0,12.324,1.84365,4.20,53282,40.564772,-105.073018,1531.5,12,0.161910,0.9
69:27:45,1657470540,2022-07-10T16:28:55,2022-07-10T10:29:00,2.005,8329.72,48.56,48.52,49.99,849.42,851.12,181.899994,7.79,0.9180,320,0,12.322,1.84011,4.20,53299,40.564762,-105.073082,1527.1,12,0.060138,0.9
69:28:15,1657470570,2022-07-10T16:29:25,2022-07-10T10:29:30,2.004,8330.71,48.52,48.47,49.90,849.46,851.37,182.500000,8.18,0.9182,320,0,12.321,1.83658,4.20,53316,40.564754,-105.073103,1524.3,12,0.012336,0.9
69:28:45,1657470600,2022-07-10T16:29:55,2022-07-10T10:30:00,2.004,8331.71,48.49,48.40,49.83,849.41,851.32,180.600006,8.63,0.9180,320,0,12.320,1.83869,4.20,53332,40.564759,-105.073106,1522.7,12,0.016448,0.9
69:29:15,1657470630,2022-07-10T16:30:25,2022-07-10T10:30:30,2.006,8332.71,48.44,48.35,49.83,849.41,851.25,181.350006,9.47,0.9177,320,0,12.318,1.83728,4.20,53347,40.564762,-105.073109,1521.5,12,0.106912,0.9
69:29:45,1657470660,2022-07-10T16:30:55,2022-07-10T10:31:00,2.006,8333.70,48.41,48.29,49.79,849.45,851.26,179.699997,10.06,0.9175,320,0,12.317,1.83940,4.20,53363,40.564753,-105.073101,1527.9,12,0.043176,1.2
69:30:15,1657470690,2022-07-10T16:31:25,2022-07-10T10:31:30,2.005,8334.70,48.37,48.23,49.72,849.43,851.35,178.250000,9.19,0.9182,320,0,12.318,1.84046,4.20,53377,40.564748,-105.073096,1527.8,11,0.124388,1.2
69:30:45,1657470720,2022-07-10T16:31:55,2022-07-10T10:32:00,2.003,8335.70,48.33,48.21,49.73,849.43,851.38,178.250000,9.27,0.9183,320,0,12.316,1.84046,4.20,53392,40.564742,-105.073082,1528.1,11,0.037522,1.8
69:31:15,1657470750,2022-07-10T16:32:25,2022-07-10T10:32:30,2.002,8336.69,48.29,48.14,49.69,849.41,851.39,179.399994,8.84,0.9186,320,0,12.317,1.84082,4.20,53406,40.564747,-105.073106,1523.0,11,0.015934,1.2
69:31:45,1657470780,2022-07-10T16:32:55,2022-07-10T10:33:00,2.002,8337.69,48.26,48.06,49.65,849.52,851.48,178.100006,8.74,0.9188,320,0,12.317,1.84188,4.19,53419,40.564750,-105.073088,1527.0,11,0.076586,1.8
69:32:15,1657470810,2022-07-10T16:33:25,2022-07-10T10:33:30,2.001,8338.68,48.21,47.99,49.60,849.51,851.65,178.149994,8.34,0.9194,320,0,12.314,1.84117,4.20,53432,40.564764,-105.073177,1519.7,12,0.040606,1.1
69:32:45,1657470840,2022-07-10T16:33:55,2022-07-10T10:34:00,1.999,8339.68,48.16,47.91,49.53,849.46,851.49,180.300003,8.45,0.9193,320,0,12.313,1.84046,4.19,53445,40.564753,-105.073156,1521.4,12,0.099716,1.1
69:33:15,1657470870,2022-07-10T16:34:25,2022-07-10T10:34:30,1.998,8340.68,48.12,47.86,49.51,849.52,851.50,181.850006,8.30,0.9195,320,0,12.312,1.83552,4.19,53457,40.564748,-105.073141,1521.2,12,0.037008,0.9
69:33:45,1657470900,2022-07-10T16:34:55,2022-07-10T10:35:00,1.998,8341.67,48.08,47.81,49.47,849.50,851.56,180.949997,8.46,0.9196,320,0,12.310,1.83516,4.19,53469,40.564746,-105.073125,1520.8,12,0.014392,0.9
69:34:15,1657470930,2022-07-10T16:35:25,2022-07-10T10:35:30,1.999,8342.67,48.02,47.74,49.44,849.48,851.60,180.149994,8.94,0.9196,320,0,12.310,1.83693,4.19,53481,40.564732,-105.073116,1524.8,12,0.124388,1.7
69:34:45,1657470960,2022-07-10T16:35:55,2022-07-10T10:36:00,1.998,8343.66,47.98,47.70,49.42,849.43,851.64,180.699997,8.81,0.9198,320,0,12.309,1.83799,4.19,53492,40.564719,-105.073093,1523.6,12,0.058082,1.0
69:35:15,1657470990,2022-07-10T16:36:25,2022-07-10T10:36:30,1.997,8344.66,47.95,47.64,49.38,849.58,851.70,179.699997,8.76,0.9200,320,0,12.308,1.83411,4.19,53503,40.564716,-105.073081,1523.0,12,0.013364,1.5
69:35:45,1657471020,2022-07-10T16:36:55,2022-07-10T10:37:00,1.996,8345.66,47.92,47.59,49.31,849.50,851.67,178.399994,8.75,0.9201,320,0,12.306,1.83976,4.19,53514,40.564725,-105.073100,1519.9,12,0.013878,1.0
69:36:15,1657471050,2022-07-10T16:37:25,2022-07-10T10:37:30,1.996,8346.65,47.89,47.50,49.30,849.42,851.62,177.050003,7.87,0.9205,320,0,12.306,1.83728,4.19,53524,40.564727,-105.073110,1521.3,12,0.024158,1.1
69:36:45,1657471080,2022-07-10T16:37:55,2022-07-10T10:38:00,1.994,8347.65,47.87,47.46,49.27,849.45,851.79,178.199997,8.22,0.9206,320,0,12.305,1.84011,4.19,53534,40.564722,-105.073093,1522.5,12,0.041120,1.0
69:37:15,1657471110,2022-07-10T16:38:25,2022-07-10T10:38:30,1.994,8348.64,47.84,47.40,49.24,849.51,851.77,181.050003,8.17,0.9207,320,0,12.304,1.83728,4.19,53544,40.564714,-105.073059,1525.5,12,0.007710,1.0
69:37:45,1657471140,2022-07-10T16:38:55,2022-07-10T10:39:00,1.994,8349.64,47.80,47.34,49.20,849.49,851.81,178.250000,8.28,0.9208,320,0,12.304,1.83940,4.19,53553,40.564720,-105.073082,1524.0,12,0.035980,1.0
69:38:15,1657471170,2022-07-10T16:39:25,2022-07-10T10:39:30,1.993,8350.64,47.78,47.27,49.17,849.58,851.70,177.050003,8.47,0.9207,320,0,12.303,1.83658,4.19,53563,40.564730,-105.073104,1523.9,12,0.067848,1.0
69:38:45,1657471200,2022-07-10T16:39:55,2022-07-10T10:40:00,1.993,8351.63,47.75,47.27,49.16,849.47,851.95,178.800003,8.38,0.9211,320,0,12.302,1.83834,4.19,53571,40.564730,-105.073116,1524.0,12,0.026728,1.0
69:39:15,1657471230,2022-07-10T16:40:25,2022-07-10T10:40:30,1.992,8352.63,47.71,47.20,49.15,849.51,851.99,177.850006,8.33,0.9213,320,0,12.299,1.83164,4.19,53580,40.564737,-105.073089,1527.4,12,0.061166,1.0
69:39:45,1657471260,2022-07-10T16:40:55,2022-07-10T10:41:00,1.991,8353.63,47.67,47.12,49.11,849.54,851.86,179.800003,8.08,0.9214,320,0,12.301,1.83481,4.19,53588,40.564726,-105.073097,1527.0,12,0.031354,1.0
69:40:15,1657471290,2022-07-10T16:41:25,2022-07-10T10:41:30,1.990,8354.62,47.63,47.07,49.04,849.44,851.98,179.199997,8.06,0.9216,320,0,12.299,1.83587,4.19,53596,40.564724,-105.073099,1529.0,12,0.083782,1.0
69:40:45,1657471320,2022-07-10T16:41:55,2022-07-10T10:42:00,1.992,8355.62,47.58,47.02,49.03,849.50,851.98,178.699997,8.24,0.9217,320,0,12.298,1.83516,4.19,53604,40.564710,-105.073080,1532.9,12,0.019532,1.0
69:41:15,1657471350,2022-07-10T16:42:25,2022-07-10T10:42:30,1.992,8356.61,47.53,46.91,48.94,849.48,852.07,179.850006,7.81,0.9221,320,0,12.298,1.83446,4.19,53612,40.564688,-105.073167,1523.7,12,0.105370,1.0
69:41:45,1657471380,2022-07-10T16:42:55,2022-07-10T10:43:00,1.989,8357.61,47.47,46.87,48.87,849.55,852.01,179.000000,7.97,0.9222,319,0,12.297,1.83305,4.19,53619,40.564711,-105.073166,1526.5,12,0.058596,1.0
69:42:15,1657471410,2022-07-10T16:43:25,2022-07-10T10:43:30,1.991,8358.61,47.41,46.78,48.85,849.53,851.93,179.449997,8.37,0.9221,319,0,12.313,1.83552,4.19,53626,40.564712,-105.073112,1531.5,12,0.079670,1.0
69:42:45,1657471440,2022-07-10T16:43:55,2022-07-10T10:44:00,1.991,8359.60,47.35,46.71,48.78,849.53,852.05,179.850006,8.53,0.9224,319,0,12.313,1.83763,4.19,53633,40.564714,-105.073111,1531.5,12,0.016448,1.0
69:43:15,1657471470,2022-07-10T16:44:25,2022-07-10T10:44:30,1.991,8360.60,47.30,46.67,48.72,849.41,852.06,178.500000,8.09,0.9227,319,0,12.310,1.83622,4.19,53640,40.564714,-105.073096,1528.8,12,0.044718,1.0
69:43:45,1657471500,2022-07-10T16:44:55,2022-07-10T10:45:00,1.990,8361.59,47.22,46.61,48.64,849.45,852.19,176.199997,8.09,0.9231,318,0,12.309,1.83411,4.19,53646,40.564710,-105.073100,1526.3,12,0.056540,1.1
69:44:15,1657471530,2022-07-10T16:45:25,2022-07-10T10:45:30,1.992,8362.59,47.15,46.53,48.58,849.46,852.01,177.899994,8.48,0.9229,318,0,12.325,1.84117,4.19,53652,40.564700,-105.073060,1529.7,12,0.023644,1.0
69:44:45,1657471560,2022-07-10T16:45:55,2022-07-10T10:46:00,1.991,8363.59,47.08,46.47,48.50,849.58,852.00,180.300003,8.61,0.9231,318,0,12.324,1.84046,4.19,53659,40.564713,-105.073046,1533.4,12,0.062708,1.0
69:45:15,1657471590,2022-07-10T16:46:25,2022-07-10T10:46:30,1.991,8364.58,47.01,46.40,48.42,849.60,852.09,176.399994,8.72,0.9234,318,0,12.320,1.83481,4.19,53664,40.564725,-105.073072,1533.6,12,0.028270,1.0
69:45:45,1657471620,2022-07-10T16:46:55,2022-07-10T10:47:00,1.991,8365.58,46.94,46.31,48.37,849.52,852.10,177.449997,8.27,0.9238,318,0,12.321,1.83622,4.19,53670,40.564718,-105.073118,1528.7,12,0.045232,1.0
69:46:15,1657471650,2022-07-10T16:47:25,2022-07-10T10:47:30,1.990,8366.57,46.87,46.24,48.32,849.53,852.12,179.250000,8.51,0.9239,318,0,12.320,1.83905,4.19,53676,40.564724,-105.073084,1529.4,12,0.013878,1.0
69:46:45,1657471680,2022-07-10T16:47:55,2022-07-10T10:48:00,1.988,8367.57,46.82,46.15,48.22,849.46,852.05,178.850006,8.95,0.9238,317,0,12.320,1.83516,4.19,53681,40.564726,-105.073084,1530.8,12,0.020560,1.0
69:47:15,1657471710,2022-07-10T16:48:25,2022-07-10T10:48:30,1.992,8368.57,46.75,46.14,48.15,849.47,852.01,178.649994,8.77,0.9240,317,0,12.335,1.84259,4.19,53686,40.564726,-105.073069,1530.4,12,0.044718,1.0
69:47:45,1657471740,2022-07-10T16:48:55,2022-07-10T10:49:00,1.991,8369.56,46.71,46.06,48.10,849.48,852.12,179.699997,9.07,0.9242,317,0,12.332,1.83940,4.19,53691,40.564728,-105.073081,1530.0,12,0.003598,1.0
69:48:15,1657471770,2022-07-10T16:49:25,2022-07-10T10:49:30,1.991,8370.56,46.66,45.99,48.03,849.54,852.16,176.699997,9.09,0.9243,317,0,12.330,1.84507,4.16,53693,40.564740,-105.073121,1526.3,12,0.091492,1.0
69:48:45,1657471800,2022-07-10T16:49:55,2022-07-10T10:50:00,1.992,8371.55,46.60,45.86,48.03,849.49,852.28,176.300003,8.87,0.9248,317,0,12.326,1.83869,4.15,53681,40.564753,-105.073131,1527.0,12,0.040606,1.0
69:49:15,1657471830,2022-07-10T16:50:25,2022-07-10T10:50:30,1.989,8372.55,46.55,45.69,47.96,849.50,852.35,179.000000,8.68,0.9251,317,0,12.325,1.84046,4.15,53669,40.564749,-105.073154,1524.2,12,0.023130,1.0
69:49:45,1657471860,2022-07-10T16:50:55,2022-07-10T10:51:00,1.987,8373.55,46.50,45.54,47.91,849.51,852.46,180.100006,9.07,0.9252,316,0,12.321,1.83834,4.15,53657,40.564748,-105.073131,1522.2,12,0.082754,1.0
69:50:15,1657471890,2022-07-10T16:51:25,2022-07-10T10:51:30,1.990,8374.54,46.42,45.40,47.87,849.47,852.67,177.649994,8.82,0.9258,315,0,12.337,1.83905,4.15,53644,40.564727,-105.073099,1523.8,12,0.090464,1.0
69:50:45,1657471920,2022-07-10T16:51:55,2022-07-10T10:52:00,1.995,8375.54,46.36,45.29,47.79,849.54,852.77,180.000000,9.05,0.9260,315,0,12.360,1.84720,4.15,53632,40.564720,-105.073110,1524.8,12,0.096632,1.0
69:51:15,1657471950,2022-07-10T16:52:25,2022-07-10T10:52:30,1.993,8376.54,46.29,45.14,47.71,849.46,852.81,180.199997,9.15,0.9262,315,0,12.358,1.84329,4.15,53620,40.564711,-105.073086,1526.6,12,0.038550,1.1
69:51:45,1657471980,2022-07-10T16:52:55,2022-07-10T10:53:00,1.992,8377.53,46.22,44.99,47.63,849.48,852.92,178.800003,9.09,0.9265,315,0,12.355,1.84400,4.15,53607,40.564702,-105.073055,1529.4,12,0.036494,1.1
69:52:15,1657472010,2022-07-10T16:53:25,2022-07-10T10:53:30,1.991,8378.53,46.15,44.93,47.59,849.48,852.83,179.100006,9.26,0.9266,315,0,12.354,1.84826,4.15,53595,40.564697,-105.073045,1530.1,12,0.019018,1.1
69:52:45,1657472040,2022-07-10T16:53:55,2022-07-10T10:54:00,1.989,8379.52,46.09,44.82,47.49,849.52,852.94,178.399994,9.46,0.9268,315,0,12.352,1.84400,4.14,53583,40.564689,-105.073067,1525.3,12,0.194806,1.1
69:53:15,1657472070,2022-07-10T16:54:25,2022-07-10T10:54:30,1.989,8380.52,46.02,44.67,47.47,849.56,852.99,178.500000,9.55,0.9270,314,0,12.352,1.84046,4.14,53570,40.564698,-105.073094,1526.4,12,0.069390,1.1
69:53:45,1657472100,2022-07-10T16:54:55,2022-07-10T10:55:00,1.992,8381.52,45.96,44.60,47.38,849.46,853.00,179.949997,9.78,0.9271,314,0,12.367,1.84613,4.14,53558,40.564699,-105.073068,1526.7,12,0.026728,1.1
69:54:15,1657472130,2022-07-10T16:55:25,2022-07-10T10:55:30,1.991,8382.51,45.90,44.51,47.35,849.58,853.07,179.800003,9.69,0.9274,314,0,12.366,1.84365,4.14,53546,40.564702,-105.073052,1527.6,12,0.033924,1.1
69:54:45,1657472160,2022-07-10T16:55:55,2022-07-10T10:56:00,1.990,8383.51,45.85,44.43,47.28,849.45,853.19,180.600006,9.84,0.9277,314,0,12.364,1.84329,4.14,53534,40.564708,-105.073045,1532.6,12,0.075044,1.1
69:55:15,1657472190,2022-07-10T16:56:25,2022-07-10T10:56:30,1.990,8384.50,45.80,44.37,47.22,849.57,853.03,176.250000,9.97,0.9276,314,0,12.363,1.84755,4.14,53521,40.564708,-105.073048,1531.8,11,0.071446,1.1
69:55:45,1657472220,2022-07-10T16:56:55,2022-07-10T10:57:00,1.989,8385.50,45.77,44.34,47.19,849.44,853.26,178.449997,9.96,0.9279,313,0,12.362,1.84471,4.14,53509,40.564708,-105.073081,1531.1,10,0.064250,1.1
69:56:15,1657472250,2022-07-10T16:57:25,2022-07-10T10:57:30,1.993,8386.50,45.70,44.21,47.14,849.42,853.21,180.300003,10.00,0.9281,313,0,12.379,1.85004,4.14,53497,40.564698,-105.073075,1533.7,12,0.066820,1.1
69:56:45,1657472280,2022-07-10T16:57:55,2022-07-10T10:58:00,1.992,8387.49,45.68,44.17,47.10,849.48,853.19,176.750000,9.87,0.9282,313,0,12.379,1.84613,4.14,53484,40.564708,-105.073064,1535.3,12,0.016962,1.1
69:57:15,1657472310,2022-07-10T16:58:25,2022-07-10T10:58:30,1.992,8388.49,45.64,44.11,47.04,849.46,853.25,177.649994,10.09,0.9283,313,0,12.377,1.84897,4.14,53472,40.564710,-105.073076,1533.4,12,0.043690,1.1
69:57:45,1657472340,2022-07-10T16:58:55,2022-07-10T10:59:00,1.989,8389.48,45.61,44.04,46.99,849.44,853.26,179.250000,9.10,0.9288,312,0,12.375,1.84684,4.13,53460,40.564704,-105.073065,1530.7,12,0.037522,1.0
69:58:15,1657472370,2022-07-10T16:59:25,2022-07-10T10:59:30,1.993,8390.48,45.57,44.04,46.97,849.47,853.32,179.850006,9.63,0.9288,312,0,12.393,1.85040,4.13,53447,40.564697,-105.073059,1528.7,12,0.027756,1.1
69:58:45,1657472400,2022-07-10T16:59:55,2022-07-10T11:00:00,1.993,8391.48,45.55,43.98,46.94,849.50,853.32,181.100006,9.57,0.9289,312,0,12.393,1.85004,4.13,53435,40.564701,-105.073072,1527.3,12,0.034438,1.0
69:59:15,1657472430,2022-07-10T17:00:25,2022-07-10T11:00:30,1.993,8392.47,45.51,43.92,46.87,849.45,853.33,177.350006,10.02,0.9288,312,0,12.393,1.85182,4.13,53423,40.564715,-105.073100,1525.3,12,0.045232,1.0
69:59:45,1657472460,2022-07-10T17:00:55,2022-07-10T11:01:00,1.992,8393.47,45.47,43.86,46.85,849.51,853.29,177.500000,9.78,0.9290,312,0,12.392,1.85146,4.13,53410,40.564690,-105.073101,1521.2,12,0.017476,1.0
70:00:15,1657472490,2022-07-10T17:01:25,2022-07-10T11:01:30,1.991,8394.46,45.43,43.79,46.82,849.44,853.40,180.149994,9.84,0.9292,312,0,12.389,1.85182,4.13,53398,40.564689,-105.073084,1524.8,12,0.106398,1.0
70:00:45,1657472520,2022-07-10T17:01:55,2022-07-10T11:02:00,1.992,8395.46,45.40,43.75,46.79,849.39,853.35,176.600006,9.58,0.9294,312,0,12.389,1.85289,4.13,53386,40.564702,-105.073093,1523.1,12,0.089436,1.0
70:01:15,1657472550,2022-07-10T17:02:25,2022-07-10T11:02:30,1.991,8396.46,45.36,43.74,46.76,849.34,853.39,179.250000,10.11,0.9293,312,0,12.390,1.84897,4.13,53373,40.564701,-105.073067,1528.8,12,0.043690,1.0
70:01:45,1657472580,2022-07-10T17:02:55,2022-07-10T11:03:00,1.991,8397.45,45.34,43.70,46.71,849.34,853.31,177.949997,9.98,0.9293,312,0,12.389,1.85182,4.13,53361,40.564700,-105.073049,1532.2,12,0.051914,1.0
70:02:15,1657472610,2022-07-10T17:03:25,2022-07-10T11:03:30,1.990,8398.45,45.31,43.64,46.67,849.34,853.26,177.949997,10.14,0.9293,312,0,12.388,1.84826,4.13,53349,40.564695,-105.073038,1533.3,12,0.015420,1.0
70:02:45,1657472640,2022-07-10T17:03:55,2022-07-10T11:04:00,1.991,8399.45,45.27,43.59,46.69,849.44,853.35,178.000000,10.04,0.9296,312,0,12.387,1.85396,4.13,53336,40.564696,-105.073052,1532.9,12,0.031868,1.0
70:03:15,1657472670,2022-07-10T17:04:25,2022-07-10T11:04:30,1.990,8400.44,45.24,43.59,46.61,849.39,853.30,179.750000,10.23,0.9295,312,0,12.386,1.85075,4.13,53324,40.564681,-105.073034,1532.8,12,0.044204,1.1
70:03:45,1657472700,2022-07-10T17:04:55,2022-07-10T11:05:00,1.991,8401.44,45.21,43.58,46.62,849.42,853.39,176.699997,10.42,0.9297,312,0,12.387,1.85218,4.12,53312,40.564692,-105.073053,1531.3,12,0.063222,1.0
70:04:15,1657472730,2022-07-10T17:05:25,2022-07-10T11:05:30,1.989,8402.43,45.17,43.50,46.56,849.37,853.45,179.250000,10.40,0.9299,312,0,12.385,1.85075,4.12,53299,40.564713,-105.073086,1528.7,12,0.056540,1.0
70:04:45,1657472760,2022-07-10T17:05:55,2022-07-10T11:06:00,1.988,8403.43,45.15,43.44,46.54,849.31,853.45,179.600006,10.27,0.9300,311,0,12.387,1.84649,4.12,53287,40.564708,-105.073057,1532.5,12,0.010794,1.0
70:05:15,1657472790,2022-07-10T17:06:25,2022-07-10T11:06:30,1.992,8404.43,45.13,43.43,46.50,849.41,853.32,178.199997,10.09,0.9300,311,0,12.401,1.85396,4.12,53275,40.564708,-105.073047,1529.8,12,0.098174,1.1
70:05:45,1657472820,2022-07-10T17:06:55,2022-07-10T11:07:00,1.991,8405.42,45.12,43.40,46.48,849.30,853.41,177.550003,10.31,0.9300,311,0,12.403,1.85253,4.12,53262,40.564714,-105.073048,1529.7,12,0.069904,1.0
70:06:15,1657472850,2022-07-10T17:07:25,2022-07-10T11:07:30,1.991,8406.42,45.09,43.35,46.46,849.30,853.38,178.750000,10.20,0.9301,311,0,12.400,1.85289,4.12,53250,40.564718,-105.073086,1527.3,12,0.015420,1.0
70:06:45,1657472880,2022-07-10T17:07:55,2022-07-10T11:08:00,1.992,8407.41,45.08,43.37,46.49,849.39,853.41,179.649994,10.31,0.9301,311,0,12.403,1.85289,4.12,53238,40.564704,-105.073057,1528.5,12,0.029812,1.0
70:07:15,1657472910,2022-07-10T17:08:25,2022-07-10T11:08:30,1.991,8408.41,45.06,43.35,46.42,849.36,853.44,176.850006,10.04,0.9303,311,0,12.400,1.85503,4.12,53225,40.564696,-105.073070,1527.2,12,0.079670,1.0
70:07:45,1657472940,2022-07-10T17:08:55,2022-07-10T11:09:00,1.992,8409.41,45.06,43.30,46.44,849.36,853.36,177.500000,10.42,0.9301,311,0,12.400,1.85289,4.12,53213,40.564706,-105.073099,1527.0,12,0.051914,1.0
70:08:15,1657472970,2022-07-10T17:09:25,2022-07-10T11:09:30,1.991,8410.40,45.03,43.29,46.44,849.34,853.42,181.550003,10.97,0.9300,311,0,12.400,1.85182,4.12,53201,40.564699,-105.073088,1524.2,12,0.023130,1.0
70:08:45,1657473000,2022-07-10T17:09:55,2022-07-10T11:10:00,1.991,8411.40,45.01,43.22,46.44,849.31,853.37,178.000000,10.49,0.9302,311,0,12.399,1.85004,4.12,53188,40.564686,-105.073068,1527.9,12,0.007710,1.0
70:09:15,1657473030,2022-07-10T17:10:25,2022-07-10T11:10:30,1.991,8412.39,45.01,43.21,46.38,849.31,853.40,178.050003,10.75,0.9302,311,0,12.401,1.85396,4.12,53176,40.564691,-105.073054,1530.0,12,0.077100,1.0
70:09:45,1657473060,2022-07-10T17:10:55,2022-07-10T11:11:00,1.991,8413.39,45.00,43.22,46.38,849.37,853.48,180.550003,10.56,0.9304,311,0,12.399,1.85040,4.12,53163,40.564706,-105.073049,1530.1,12,0.021074,1.0
70:10:15,1657473090,2022-07-10T17:11:25,2022-07-10T11:11:30,1.991,8414.39,44.99,43.18,46.38,849.29,853.43,179.149994,10.88,0.9302,311,0,12.399,1.85253,4.11,53151,40.564709,-105.073082,1525.9,12,0.185554,1.0
70:10:45,1657473120,2022-07-10T17:11:55,2022-07-10T11:12:00,1.991,8415.38,44.98,43.18,46.35,849.37,853.48,180.199997,10.96,0.9303,311,0,12.398,1.85646,4.11,53139,40.564713,-105.073060,1525.7,12,0.015934,1.0
70:11:15,1657473150,2022-07-10T17:12:25,2022-07-10T11:12:30,1.991,8416.38,44.98,43.14,46.38,849.32,853.59,179.699997,11.12,0.9303,311,0,12.398,1.85503,4.11,53126,40.564690,-105.073008,1527.9,12,0.040092,1.0
70:11:45,1657473180,2022-07-10T17:12:55,2022-07-10T11:13:00,1.991,8417.38,44.98,43.11,46.34,849.37,853.48,179.250000,11.25,0.9301,311,0,12.398,1.85289,4.11,53114,40.564687,-105.073029,1524.4,12,0.028784,1.0
70:12:15,1657473210,2022-07-10T17:13:25,2022-07-10T11:13:30,1.992,8418.37,44.99,43.12,46.36,849.37,853.65,178.899994,10.98,0.9304,311,0,12.398,1.85075,4.11,53102,40.564681,-105.073043,1527.2,12,0.038550,1.0
70:12:45,1657473240,2022-07-10T17:13:55,2022-07-10T11:14:00,1.990,8419.37,44.99,43.10,46.38,849.35,853.65,180.649994,11.05,0.9304,311,0,12.398,1.85146,4.11,53089,40.564681,-105.073052,1525.0,12,0.105370,1.0
70:13:15,1657473270,2022-07-10T17:14:25,2022-07-10T11:14:30,1.992,8420.36,45.00,43.13,46.35,849.31,853.67,178.250000,11.31,0.9303,311,0,12.397,1.85075,4.11,53077,40.564689,-105.073083,1523.5,12,0.021074,1.0
70:13:45,1657473300,2022-07-10T17:14:55,2022-07-10T11:15:00,1.991,8421.36,45.04,43.10,46.40,849.36,853.79,180.649994,11.44,0.9302,311,0,12.397,1.85360,4.11,53065,40.564700,-105.073073,1526.3,12,0.056540,1.0
