(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:16:15,1657221450,2022-07-07T19:17:30,2022-07-07T13:17:30,1.998,32.66,35.78,34.64,37.29,849.34,852.26,176.699997,22.18,0.9555,284,0,12.780,1.90797,4.14,53378,40.564739,-105.073100,1523.2,12,0.059624,0.8
0:16:45,1657221480,2022-07-07T19:18:00,2022-07-07T13:18:00,1.995,33.65,35.75,34.57,37.28,849.29,852.35,175.800003,21.47,0.9559,284,0,12.778,1.90981,4.14,53366,40.564730,-105.073071,1524.3,12,0.015420,0.7
0:17:15,1657221510,2022-07-07T19:18:30,2022-07-07T13:18:30,1.996,34.65,35.71,34.52,37.24,849.35,852.34,176.500000,21.96,0.9559,284,0,12.778,1.90797,4.14,53354,40.564742,-105.073067,1522.9,12,0.163966,0.7
0:17:45,1657221540,2022-07-07T19:19:00,2022-07-07T13:19:00,1.995,35.65,35.69,34.47,37.22,849.31,852.48,176.800003,21.71,0.9562,284,0,12.775,1.90834,4.14,53342,40.564739,-105.073053,1521.4,12,0.064764,0.7
0:18:15,1657221570,2022-07-07T19:19:30,2022-07-07T13:19:30,1.993,36.65,35.65,34.42,37.19,849.36,852.52,176.100006,21.34,0.9565,284,0,12.775,1.90797,4.14,53330,40.564721,-105.072994,1525.8,12,0.145976,0.7
0:18:45,1657221600,2022-07-07T19:20:00,2022-07-07T13:20:00,1.993,37.64,35.62,34.35,37.13,849.23,852.59,174.100006,22.06,0.9565,284,0,12.776,1.90834,4.14,53318,40.564724,-105.073005,1522.8,12,0.003598,0.7
0:19:15,1657221630,2022-07-07T19:20:30,2022-07-07T13:20:30,1.993,38.64,35.59,34.32,37.13,849.40,852.59,175.100006,21.79,0.9566,284,0,12.774,1.90429,4.13,53306,40.564723,-105.072994,1525.9,12,0.070932,0.7
0:19:45,1657221660,2022-07-07T19:21:00,2022-07-07T13:21:00,1.992,39.63,35.57,34.26,37.08,849.54,852.70,175.050003,21.86,0.9568,284,0,12.774,1.90429,4.13,53294,40.564703,-105.072983,1525.0,12,0.026214,0.8
0:20:15,1657221690,2022-07-07T19:21:30,2022-07-07T13:21:30,1.992,40.63,35.54,34.22,37.06,849.49,852.66,175.550003,21.99,0.9568,284,0,12.773,1.90135,4.13,53281,40.564719,-105.072997,1523.9,12,0.053456,0.7
0:20:45,1657221720,2022-07-07T19:22:00,2022-07-07T13:22:00,1.992,41.63,35.51,34.18,37.03,849.37,852.60,175.050003,21.89,0.9569,284,0,12.773,1.90576,4.13,53269,40.564721,-105.072999,1522.6,12,0.041120,0.7
0:21:15,1657221750,2022-07-07T19:22:30,2022-07-07T13:22:30,1.991,42.62,35.48,34.15,36.99,849.48,852.64,178.949997,21.85,0.9570,284,0,12.774,1.90245,4.13,53257,40.564724,-105.072997,1527.0,12,0.193778,0.7
0:21:45,1657221780,2022-07-07T19:23:00,2022-07-07T13:23:00,1.991,43.62,35.46,34.10,36.94,849.45,852.70,174.899994,22.00,0.9571,284,0,12.773,1.90429,4.13,53245,40.564719,-105.072999,1525.4,12,0.080698,0.8
0:22:15,1657221810,2022-07-07T19:23:30,2022-07-07T13:23:30,1.990,44.61,35.43,34.06,36.96,849.40,852.74,177.350006,21.71,0.9574,284,0,12.771,1.90098,4.13,53233,40.564742,-105.073046,1520.6,12,0.040606,0.7
